COUNTYGEOID,C01,C02,C03,C04,C05
04003,-48948.53611566693,-30546.40820093417,-10521.621957293211,-39992.98554748818,31958.510754821178
04005,-48965.4046559889,-30734.062176333293,-10521.702263683615,-39984.7940353187,31955.999158034076
04007,1158472.9937388576,11291766.15927192,102461.74148952051,-18652.00081027762,-96587.17909809235
04009,-49249.845939398416,-33997.68954626648,-10768.820386448875,-40211.64613452305,33023.097778467454
04011,-46106.150038417865,-1566.980673090814,-9439.668841828006,-39121.96586285613,27869.622481632585
04012,-49249.77516121081,-33997.04027161961,-10768.832691386087,-40211.76408674169,33023.010974828205
04013,-47213.31051794555,-34313.313967243725,5069.141174842824,-32756.88661042768,30563.46131194325
04015,-49248.4510609838,-33984.811211269596,-10768.751013869827,-40211.72532999316,33023.03505670426
04017,-44225.88237082011,-25743.942680096963,4543.760447963853,43095.442878238595,-97955.0074061237
04019,-43542.8592438548,31169.2226434687,-6016.543118686939,-35337.75479431806,13115.998992524395
04021,-39626.87860059458,58016.32009139407,-6297.749731645721,-37765.06405003757,25438.849332651527
04023,-49242.17233322071,-33998.552312257314,-10774.810852597984,-40211.15218384536,33022.95183643718
04025,-40619.074312928744,58590.6999747512,-5880.377993871422,-36066.96971455396,12896.487438916112
04027,-49156.84034529524,-33997.505583748985,-10710.871988410445,-33789.271522126095,10431.32864550214
06001,-38021.54670811402,-15771.048578977585,20652.83328755346,116036.36691570436,-138661.25817946886
06003,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06005,-49249.80707231559,-33997.77940404653,-10768.862804925291,-40211.44968282865,33022.43962123339
06007,-49249.775713635936,-33997.782245162474,-10768.84640843891,-40211.16690809256,33022.30945101916
06009,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06011,-49028.398939266575,-34032.86532748963,-8983.97487126313,-39562.533239138946,33155.82721633302
06013,-47802.78234206391,-33679.03348147351,-9101.101900036901,-39424.30366958085,33535.97519847934
06015,-49249.85234595059,-33997.77460458963,-10768.838633130914,-40211.75113016966,33022.98446202009
06017,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06019,-49204.48756599327,-33987.06328393958,-10741.158403246434,-37149.047530131254,22245.125459489947
06021,-48391.422619039455,-34078.87061041592,-11194.526397560961,-31037.281634029303,37595.45856886474
06023,-39017.47839039034,-35600.232857302886,24589.042694424872,159204.00817875128,-276006.8559339713
06025,-49249.79016988978,-33997.120887312274,-10768.704129675034,-40210.855192164985,33023.70888480334
06027,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06029,-41817.78575242741,32831.34214932676,-8450.335970536267,-33076.29503250134,25843.76611156102
06031,85942.53737376911,1261768.7791633063,12180.217242779017,-25845.97593436838,-27920.19327751168
06033,-49207.15857964386,-33514.7693536152,-10740.396675407661,-40175.13822964231,32997.01877724786
06035,-49249.82705481197,-33997.49598927788,-10768.780903110877,-40211.37707587995,33023.305630796815
06037,-39398.59231233301,-31672.28026609054,22520.77326842674,142386.59744068029,127614.54820179782
06039,-48509.26593612487,-34114.51478501901,-6203.229955193378,-33089.20360883967,24241.191762517956
06041,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06043,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06045,-49249.56717042245,-33997.79989709969,-10769.230930092965,-40210.93051114153,33023.30596116804
06047,-48197.19195270292,-34163.96612149664,-2287.3096857944347,-37124.981840356806,33655.25190986938
06049,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06051,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06053,-49249.854126606275,-33997.77441502481,-10768.837487878522,-40211.76252314899,33023.00729325787
06055,-49249.75803091392,-33996.88170466065,-10768.831855551907,-40211.76497901004,33023.011795310435
06057,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06059,-46119.63185311629,-34309.808603423786,6549.897971639117,-22948.8173895493,39322.474279928356
06061,-48864.154059002896,-34037.649512239914,-7228.23909205655,-3954.2152645957576,56774.7882776341
06063,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06065,-49215.10733100826,-33727.09051545708,-10717.23849386526,-39875.04507257834,33176.1847127728
06067,-46986.28235670704,-34211.52676730799,-11889.924825982082,-16008.578058069324,45082.219748225034
06069,-49171.84617280952,-33997.828896022285,-10721.006381191759,-34833.28682486448,14095.334049541001
06071,-47453.64077358536,-33008.3142096614,2618.3281400346314,-34597.42335371669,34446.66100712223
06073,-39191.13156974271,-34972.866914477716,-11398.129685390659,67736.60534416955,85355.31271589188
06075,-49181.86978031452,-34008.52882030692,-10220.554303965986,-39982.70564939688,33083.69731487985
06077,-48475.302793442046,-34104.53878917875,-8760.796639078908,-28464.3910379812,19065.05755035714
06079,-49249.76340484871,-33997.758944237525,-10768.765442703843,-40210.65356494403,33023.60213164331
06081,-49150.94472230409,-33221.182446852865,-10640.932227080222,-39730.526360849115,33328.53856837783
06083,-49249.40807812932,-33997.14964959422,-10768.696122475958,-40205.94660079126,33024.22020705785
06085,-49141.39024926824,-33966.37280018234,-9931.00523511576,-39898.843985991894,33083.786889904695
06087,-49249.796289885955,-33997.628374571534,-10768.906350092677,-40211.62465050216,33023.100751821206
06089,-48777.62619959851,-34068.18779446763,-8567.62100428685,-33117.40356910697,22684.674434404966
06091,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06093,-48598.8135079814,-34100.02324810762,-8518.50384624879,-27521.443782511575,13356.31398451295
06095,-49184.08294274513,-33947.6826501667,-10781.4925159818,-40188.565941477915,33010.81629696913
06097,-49249.74569825885,-33997.78417124,-10768.136777417412,-40205.13601148504,33025.87157208375
06099,-47257.35560268896,-34185.12473765491,-11756.617288338735,-18910.718155926705,43633.65275963107
06101,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06103,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06105,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
06107,-49249.709472137816,-33996.431509959264,-10768.828226690157,-40211.7598746977,33023.01817762307
06109,-49249.85402850875,-33997.77442622168,-10768.837734805653,-40211.762333217164,33023.00471058891
06111,-46651.53163015737,-34399.08438882745,10134.612964009411,-32416.673581797644,34666.07032951612
06113,-49138.41193390019,-33997.80638656659,-10699.274932350962,-32491.435603118047,5853.542636867341
06115,-49249.85007047289,-33997.77325712724,-10768.816723750511,-40211.554555731986,33023.09795790944
08001,-49209.35650422025,-33786.35259856799,-10738.550690937804,-39876.968937436795,33166.92711922398
08003,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08005,-49249.75032554976,-33997.80872813288,-10767.536875924792,-40197.6713055064,33026.941807398915
08007,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08009,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08011,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08013,-49246.29826154438,-33997.388264540015,-10752.30533754819,-40063.53320953239,33041.16274637207
08014,-49250.36587293704,-33998.4740442987,-10767.801197133816,-40205.621970411754,33027.42016733733
08015,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08017,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08019,-49249.85420853401,-33997.774394276574,-10768.837635439288,-40211.76352253611,33023.00690564624
08021,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08023,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08025,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08027,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08029,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08031,-49248.129706200474,-33989.84896206111,-10769.10459265328,-40201.74201799069,33027.986356725094
08033,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08035,-49244.827370917585,-33998.06854063003,-10742.70100880291,-39984.07749614096,33050.120149473514
08037,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08039,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08041,-49245.83160259439,-33952.32191127774,-10766.140830150964,-40208.14044997311,33020.60868873354
08043,-48693.77218517576,-34085.06111172814,-8846.74187189587,-29372.49049598825,16224.953526770021
08045,-49249.81340681334,-33997.77808305428,-10768.572956566979,-40209.262502622245,33024.09044743148
08047,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08049,-49249.54227958105,-33994.83290493071,-10768.202426604586,-40207.1320314071,33026.12959819144
08051,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08053,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08055,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08057,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08059,-49200.73799313034,-34004.14213509424,-10373.890854313027,-40067.901609612156,33052.32456134258
08061,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08063,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08065,-49249.76158156155,-33996.82396672666,-10768.644420351735,-40210.44859715899,33024.024820300256
08067,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08069,-49249.84486609313,-33997.775289280646,-10768.796511837816,-40211.34295157824,33023.15089391958
08071,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08073,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08075,-48179.31110865679,-34165.90798567718,-7068.4858085237465,-19344.349547341877,683.9380988960547
08077,-46740.91587077008,-34395.31514114649,9452.666207490434,-32851.101687938775,34530.23538598968
08079,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08081,-48854.76155970824,-29497.437146273904,-10451.00705699263,-39919.742882951745,31656.91882378638
08083,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
08085,-48959.13782904644,-34043.436157293334,-9764.054880397418,-34545.23960463808,24241.41094600401
08087,-49249.854201678674,-33997.77440619168,-10768.837644185509,-40211.763413713,33023.00662013526
